background_route_record_id,display_name,canonical_sphere_id,canonical_sphere_name,background_only,ordinary_training_presentation,selection_disposition,acquisition_route,source_text,source_provenance,record_commitment_sha256
tianxia.background_talent.alchemy.antidote_pill,Antidote Pill (Alchemy),tianxia.sphere.alchemy,Alchemy,true,false,BACKGROUND_ORIGIN_ONLY,background-talent-selection,**Alchemy Sphere.** You gain the Alchemy sphere and the **Antidote Pill** recipe.,"{""source_anchor"":""heading:background-spheres-and-talents"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""e5e8203907dbded3303f197ff86579e82ec4d08df1fdbbcd51b03af5a98edf1c"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_PHB_Backgrounds_v2_BOOK_CLEAN_ORIGIN_RECONCILED_v0_6.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",7440baea0a91cb16564a7f373d6381ffcd62b98e4ff7b574cdde34e1f694f13c
tianxia.background_talent.alchemy.calming_heart_pill,Calming Heart Pill (Alchemy),tianxia.sphere.alchemy,Alchemy,true,false,BACKGROUND_ORIGIN_ONLY,background-talent-selection,**Alchemy Sphere.** You gain the Alchemy sphere and the **Calming Heart Pill** recipe.,"{""source_anchor"":""heading:background-spheres-and-talents"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""e5e8203907dbded3303f197ff86579e82ec4d08df1fdbbcd51b03af5a98edf1c"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_PHB_Backgrounds_v2_BOOK_CLEAN_ORIGIN_RECONCILED_v0_6.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",31e6fc408548e70648fc54d0de9d7ca682c5c9c41a5ec9df29e6dd466978cf66
tianxia.background_talent.alchemy.healing_pill,Healing Pill (Alchemy),tianxia.sphere.alchemy,Alchemy,true,false,BACKGROUND_ORIGIN_ONLY,background-talent-selection,**Alchemy Sphere.** You gain the Alchemy sphere and the **Healing Pill** recipe.,"{""source_anchor"":""heading:background-spheres-and-talents"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""e5e8203907dbded3303f197ff86579e82ec4d08df1fdbbcd51b03af5a98edf1c"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_PHB_Backgrounds_v2_BOOK_CLEAN_ORIGIN_RECONCILED_v0_6.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",ee17d6fcec3649b88a091e460e9eecfe2216adfdc6d7d6cf1dbb3713b79d4dcf
tianxia.background_talent.athletics.mighty_conditioning,Mighty Conditioning (Athletics),tianxia.sphere.athletics,Athletics,true,false,BACKGROUND_ORIGIN_ONLY,background-talent-selection,**Athletics Sphere.** You gain the Athletics sphere and the **Mighty Conditioning** talent.,"{""source_anchor"":""heading:background-spheres-and-talents"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""e5e8203907dbded3303f197ff86579e82ec4d08df1fdbbcd51b03af5a98edf1c"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_PHB_Backgrounds_v2_BOOK_CLEAN_ORIGIN_RECONCILED_v0_6.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",1b0009fc9b43abdae725097484000bcc40b50f76f3385cf379233dd4d986c045
tianxia.background_talent.athletics.strong_lungs,Strong Lungs (Athletics),tianxia.sphere.athletics,Athletics,true,false,BACKGROUND_ORIGIN_ONLY,background-talent-selection,**Athletics Sphere.** You gain the Athletics sphere and the **Strong Lungs** talent.,"{""source_anchor"":""heading:background-spheres-and-talents"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""e5e8203907dbded3303f197ff86579e82ec4d08df1fdbbcd51b03af5a98edf1c"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_PHB_Backgrounds_v2_BOOK_CLEAN_ORIGIN_RECONCILED_v0_6.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",c2879fcab2369c45f34d84d68a6a8ac5c8d847d179f9160f9e86cadb58d76efd
tianxia.background_talent.athletics.sure_grip,Sure Grip (Athletics),tianxia.sphere.athletics,Athletics,true,false,BACKGROUND_ORIGIN_ONLY,background-talent-selection,**Athletics Sphere.** You gain the Athletics sphere and the **Sure Grip** talent.,"{""source_anchor"":""heading:background-spheres-and-talents"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""e5e8203907dbded3303f197ff86579e82ec4d08df1fdbbcd51b03af5a98edf1c"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_PHB_Backgrounds_v2_BOOK_CLEAN_ORIGIN_RECONCILED_v0_6.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",5183d13f41b62fbe181a4ec0ddc7bd293ed5fefa05a1cafe81aec6a37c24c3be
tianxia.background_talent.athletics.swift_movement,Swift Movement (Athletics),tianxia.sphere.athletics,Athletics,true,false,BACKGROUND_ORIGIN_ONLY,background-talent-selection,**Athletics Sphere.** You gain the Athletics sphere and the **Swift Movement** talent.,"{""source_anchor"":""heading:background-spheres-and-talents"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""e5e8203907dbded3303f197ff86579e82ec4d08df1fdbbcd51b03af5a98edf1c"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_PHB_Backgrounds_v2_BOOK_CLEAN_ORIGIN_RECONCILED_v0_6.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",47ee670ab350c6b6a98fc51ed8a91ecb688b25cb2e213a9fdc24e8cd21ef0c5d
tianxia.background_talent.barrage.distracting_shot,Distracting Shot (Barrage),tianxia.sphere.barrage,Barrage,true,false,BACKGROUND_ORIGIN_ONLY,background-talent-selection,**Barrage Sphere.** You gain the Barrage sphere and the **Distracting Shot** talent.,"{""source_anchor"":""heading:background-spheres-and-talents"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""e5e8203907dbded3303f197ff86579e82ec4d08df1fdbbcd51b03af5a98edf1c"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_PHB_Backgrounds_v2_BOOK_CLEAN_ORIGIN_RECONCILED_v0_6.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",94538003958ef6dfd6c739b1fe160e9a37d0a6ae74b9839f7445a90c5339d7f4
tianxia.background_talent.barrage.mobile_barrage,Mobile Barrage (Barrage),tianxia.sphere.barrage,Barrage,true,false,BACKGROUND_ORIGIN_ONLY,background-talent-selection,**Barrage Sphere.** You gain the Barrage sphere and the **Mobile Barrage** talent.,"{""source_anchor"":""heading:background-spheres-and-talents"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""e5e8203907dbded3303f197ff86579e82ec4d08df1fdbbcd51b03af5a98edf1c"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_PHB_Backgrounds_v2_BOOK_CLEAN_ORIGIN_RECONCILED_v0_6.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",1fa47f2cd81b3590d5118b88977640ab72f54d79123cd01dc781b13b001a4b6c
tianxia.background_talent.beastmastery.lookout,Lookout (Beastmastery),tianxia.sphere.beastmastery,Beastmastery,true,false,BACKGROUND_ORIGIN_ONLY,background-talent-selection,**Beastmastery Sphere.** You gain the Beastmastery sphere and the **Lookout** talent.,"{""source_anchor"":""heading:background-spheres-and-talents"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""e5e8203907dbded3303f197ff86579e82ec4d08df1fdbbcd51b03af5a98edf1c"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_PHB_Backgrounds_v2_BOOK_CLEAN_ORIGIN_RECONCILED_v0_6.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",fcd294929140f694fb2c6bd243b5c1ccca33c37b012d5296851b48693ecca6b8
