canonical_sphere_id,preserved_legacy_id,proposed_canonical_id,deterministic_migration_alias,display_name,normalized_key,exact_published_source_section,source_section_line_start,source_section_line_end,source_section_sha256,source_pack,source_version,aliases,content_family_labels,route_labels,deprecated_labels,status,expected_browse_rules_visibility,expected_character_creator_disposition,confirmed_selectable_talent_count,confirmed_membership_count,background_related_relationship_count,zero_projected_talent_status,source_provenance,record_commitment_sha256
tianxia.sphere.air,tianxia.sphere.air,tianxia.sphere.air,null,Air,air,Sphere of Air,570,1703,6b98f8e0ea2f396499a61e62734b07cb7d6f04551458b5c0f7d9e8decdda48d7,Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2,HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A,[],[],[],[],PUBLISHED_CANONICAL,true,OWNER_SELECTABLE_WITH_PREREQUISITES,42,42,0,false,"{""source_anchor"":""line:570"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",45231ad94389c44b27ce8f9a2c35596bd058161218c17296f3e398eaa2e4c7a4
tianxia.sphere.alchemy,tianxia.sphere.alchemy,tianxia.sphere.alchemy,null,Alchemy,alchemy,Sphere of Alchemy,1704,3103,1ef71b243d878ad7a79737f57d6e55db030c5313e172bbf27408fc8d744c2482,Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2,HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A,[],[],[],[],PUBLISHED_CANONICAL,true,OWNER_SELECTABLE_WITH_PREREQUISITES,28,28,3,false,"{""source_anchor"":""line:1704"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",17701aaf429eb48f17557c624cb809435c1db3d6f23c0b1df5aae9044e3b9f9d
tianxia.sphere.ash,tianxia.sphere.ash,tianxia.sphere.ash,null,Ash,ash,Sphere of Ash,3104,4211,6b0995446dbeb8ee7b0a1fa91fd7e53f23bb16ddae872c0ba019925a3b2ed70d,Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2,HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A,[],[],[],[],PUBLISHED_CANONICAL,true,OWNER_SELECTABLE_WITH_PREREQUISITES,7,7,0,false,"{""source_anchor"":""line:3104"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",3221c3854ff0d3aace6c7f4e2b2544ff9153f40ea224296f9e9d5f67c145d714
tianxia.sphere.athletics,tianxia.sphere.athletics,tianxia.sphere.athletics,null,Athletics,athletics,Sphere of Athletics,4212,5103,096148165e7b99ef906578c38524888a90910c55b689cd3e1d0e3825c41eea41,Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2,HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A,[],[],[],[],PUBLISHED_CANONICAL,true,OWNER_SELECTABLE_WITH_PREREQUISITES,38,38,4,false,"{""source_anchor"":""line:4212"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",dfec1826db928bd6bda926eff8c09f91ea8797ce4f44ec23e8cc23dcd9e3deea
tianxia.sphere.axes,tianxia.sphere.axes,tianxia.sphere.axes,null,Axes,axes,Sphere of Axes,5104,6195,f9edf9bca5f0591aa74e82f366a8ff3c8756cdf299a1f7629afad33bdc272040,Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2,HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A,[],[],[],[],PUBLISHED_CANONICAL,true,OWNER_SELECTABLE_WITH_PREREQUISITES,42,42,0,false,"{""source_anchor"":""line:5104"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",1ee9e9bfc1cecb28d1ac6b7b2018482dac6393b67c3a5fb95c1436a618e03f35
tianxia.sphere.barrage,tianxia.sphere.barrage,tianxia.sphere.barrage,null,Barrage,barrage,Sphere of Barrage,6196,7204,5873f1e6893f1b09d6f87633dfdc296b7b8f20d197ff89c464c63bf90c960fbf,Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2,HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A,[],[],[],[],PUBLISHED_CANONICAL,true,OWNER_SELECTABLE_WITH_PREREQUISITES,29,29,2,false,"{""source_anchor"":""line:6196"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",2e7236cee1a536283490fbf9e82d443e01795f9ff832d7c8b2c72d4fcb17b19d
tianxia.sphere.beastmastery,tianxia.sphere.beastmastery,tianxia.sphere.beastmastery,null,Beastmastery,beastmastery,Sphere of Beastmastery,7205,8352,327d88e6eee23ee8cd5255dfc28d35414e50502329099f7696963ecb70471c66,Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2,HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A,[],[],[],[],PUBLISHED_CANONICAL,true,OWNER_SELECTABLE_WITH_PREREQUISITES,32,32,2,false,"{""source_anchor"":""line:7205"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",54156e9bd24ef3a8453d0d9b857fa71024dfdd08d78d68f572a6a33e7459880e
tianxia.sphere.beauty,tianxia.sphere.beauty,tianxia.sphere.beauty,null,Beauty,beauty,Sphere of Beauty,8353,9363,e426e782be7760821357a2a9df3707364e7d4e8cf61ee44bf2b0f885ba3f0ea3,Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2,HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A,"[""Beauty Catalogue Name: Sphere of Beauty""]",[],[],[],PUBLISHED_CANONICAL,true,OWNER_SELECTABLE_WITH_PREREQUISITES,0,0,0,true,"{""source_anchor"":""line:8353"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",d8698e35c892a2d396f9b08cd51e3d56207ab66058e8122fdad4fd71a86c9ca3
tianxia.sphere.berserker,tianxia.sphere.berserker,tianxia.sphere.berserker,null,Berserker,berserker,Sphere of Berserker,9364,10326,dd585ded30e7d6e31728933b4a24d7a310a35e9482b7ec739d42f69d109f42df,Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2,HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A,[],[],[],[],PUBLISHED_CANONICAL,true,OWNER_SELECTABLE_WITH_PREREQUISITES,32,32,0,false,"{""source_anchor"":""line:9364"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",ef93b082005f075f798c2a1cb5c444806eb608a2ffd0778939c3de6fcc8da0ba
tianxia.sphere.blacksmith,tianxia.sphere.blacksmith,tianxia.sphere.blacksmith,null,Blacksmith,blacksmith,Sphere of Blacksmith,10327,12025,90800d611d9f2384aa6b81b2f374b33d7ea851801f3ae8acc62dcfac050fb8ac,Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2,HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A,[],[],[],[],PUBLISHED_CANONICAL,true,OWNER_SELECTABLE_WITH_PREREQUISITES,0,0,2,true,"{""source_anchor"":""line:10327"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",66fedf743ba4ad120788a205f8b0f95c3ec0b30f7deaf3a9b56ded108b2cccb3
