canonical_talent_id,preserved_legacy_id,proposed_canonical_id,deterministic_migration_alias,display_name,owning_canonical_sphere_id,owning_canonical_sphere_name,legacy_source_sphere_label,legacy_owner_alias_applied,owner_ruling_id,exact_source_path,exact_source_anchor,exact_source_section,source_pack,source_version,record_type,acquisition_routes,background_only,automatic_grant,training_eligibility,free_sphere_talent_eligibility,minimum_cl,typed_prerequisite_fields_present,raw_prerequisite_prose,prerequisite_evaluation_status,short_description,full_description,short_description_availability,full_description_availability,selection_disposition,restriction_status,historical_or_deprecated,aliases,source_kind,source_provenance,record_commitment_sha256
ASH_TAL_ASHEN_BURIAL,ASH_TAL_ASHEN_BURIAL,ASH_TAL_ASHEN_BURIAL,null,Ashen Burial,tianxia.sphere.ash,Ash,Ash,false,null,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md,line:3582,Sphere of Ash,Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2,HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A,CONFIRMED_SELECTABLE_TALENT,"[""known-sphere-talent-training"",""level-talent"",""new-sphere-bonus-when-eligible""]",false,false,ELIGIBLE_UNDER_ACCEPTED_GENERAL_TRAINING_ROUTE,SUPPORTED_BY_ACCEPTED_GENERAL_RULE_SUBJECT_TO_CHARACTER_STATE,null,true,,NO_EXPLICIT_PREREQUISITE_PROSE_BEYOND_OWNER_RELATIONSHIP,Ashen Burial restrains a grounded creature and deals start-turn damage until it saves out.,,AVAILABLE,MISSING,OWNER_SELECTABLE_WITH_PREREQUISITES,ordinary_or_unspecified,false,[],candidate,"{""accepted_qa2_record_id"":""ASH_TAL_ASHEN_BURIAL"",""source_anchor"":""line:3582"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",0f41cd583c7bcb085807f0ce96898779bdf69cc6b65387a31cd830c386eba3ec
ASH_TAL_CINDER_BURST,ASH_TAL_CINDER_BURST,ASH_TAL_CINDER_BURST,null,Cinder Burst,tianxia.sphere.ash,Ash,Ash,false,null,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md,line:3326,Sphere of Ash,Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2,HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A,CONFIRMED_SELECTABLE_TALENT,"[""known-sphere-talent-training"",""level-talent"",""new-sphere-bonus-when-eligible""]",false,false,ELIGIBLE_UNDER_ACCEPTED_GENERAL_TRAINING_ROUTE,SUPPORTED_BY_ACCEPTED_GENERAL_RULE_SUBJECT_TO_CHARACTER_STATE,null,true,,NO_EXPLICIT_PREREQUISITE_PROSE_BEYOND_OWNER_RELATIONSHIP,Cinder Burst is a cone damage packet with no-reaction rider on failed CON save.,,AVAILABLE,MISSING,OWNER_SELECTABLE_WITH_PREREQUISITES,ordinary_or_unspecified,false,[],candidate,"{""accepted_qa2_record_id"":""ASH_TAL_CINDER_BURST"",""source_anchor"":""line:3326"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",fbe1f9150d879a5c7a26a6d5ef1d45fbf3dee8097086ceb2362569a9f5cd793f
ASH_TAL_CREMATION_PRISON,ASH_TAL_CREMATION_PRISON,ASH_TAL_CREMATION_PRISON,null,Cremation Prison,tianxia.sphere.ash,Ash,Ash,false,null,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md,line:3812,Sphere of Ash,Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2,HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A,CONFIRMED_SELECTABLE_TALENT,"[""known-sphere-talent-training"",""level-talent"",""new-sphere-bonus-when-eligible""]",false,false,ELIGIBLE_UNDER_ACCEPTED_GENERAL_TRAINING_ROUTE,SUPPORTED_BY_ACCEPTED_GENERAL_RULE_SUBJECT_TO_CHARACTER_STATE,null,true,,NO_EXPLICIT_PREREQUISITE_PROSE_BEYOND_OWNER_RELATIONSHIP,Cremation Prison is a single-target hard-control damage-over-time packet with temp-HP/healing throttle.,,AVAILABLE,MISSING,OWNER_SELECTABLE_WITH_PREREQUISITES,ordinary_or_unspecified,false,[],candidate,"{""accepted_qa2_record_id"":""ASH_TAL_CREMATION_PRISON"",""source_anchor"":""line:3812"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",b682bb798150f520e49d355ac2043ef0d110b1c9ee1c3b3f70d1c776166e856e
ASH_TAL_DEEP_CINDER_BRAND,ASH_TAL_DEEP_CINDER_BRAND,ASH_TAL_DEEP_CINDER_BRAND,null,Deep Cinder Brand,tianxia.sphere.ash,Ash,Ash,false,null,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md,line:3492,Sphere of Ash,Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2,HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A,CONFIRMED_SELECTABLE_TALENT,"[""known-sphere-talent-training"",""level-talent"",""new-sphere-bonus-when-eligible""]",false,false,ELIGIBLE_UNDER_ACCEPTED_GENERAL_TRAINING_ROUTE,SUPPORTED_BY_ACCEPTED_GENERAL_RULE_SUBJECT_TO_CHARACTER_STATE,null,true,,NO_EXPLICIT_PREREQUISITE_PROSE_BEYOND_OWNER_RELATIONSHIP,Deep Cinder Brand adds one pressure and optional extra damage if target stands in Ash Terrain.,,AVAILABLE,MISSING,OWNER_SELECTABLE_WITH_PREREQUISITES,ordinary_or_unspecified,false,[],candidate,"{""accepted_qa2_record_id"":""ASH_TAL_DEEP_CINDER_BRAND"",""source_anchor"":""line:3492"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",95d858ab96f3a8238b520412ef145a11d49eb29df2a69a449d396600dac314fe
ASH_TAL_RUINOUS_ASH,ASH_TAL_RUINOUS_ASH,ASH_TAL_RUINOUS_ASH,null,Ruinous Ash,tianxia.sphere.ash,Ash,Ash,false,null,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md,line:3550,Sphere of Ash,Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2,HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A,CONFIRMED_SELECTABLE_TALENT,"[""known-sphere-talent-training"",""level-talent"",""new-sphere-bonus-when-eligible""]",false,false,ELIGIBLE_UNDER_ACCEPTED_GENERAL_TRAINING_ROUTE,SUPPORTED_BY_ACCEPTED_GENERAL_RULE_SUBJECT_TO_CHARACTER_STATE,null,true,,NO_EXPLICIT_PREREQUISITE_PROSE_BEYOND_OWNER_RELATIONSHIP,Ruinous Ash damages objects/barriers/constructs and creates a Remnant if it destroys the target.,,AVAILABLE,MISSING,OWNER_SELECTABLE_WITH_PREREQUISITES,ordinary_or_unspecified,false,[],candidate,"{""accepted_qa2_record_id"":""ASH_TAL_RUINOUS_ASH"",""source_anchor"":""line:3550"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",3de8e5dbe6fce8ee1b2bf1ef04e2c97d2946c9ab51ee0d0c6762eabfec53e575
ASH_TAL_SMOTHERING_CLOUD,ASH_TAL_SMOTHERING_CLOUD,ASH_TAL_SMOTHERING_CLOUD,null,Smothering Cloud,tianxia.sphere.ash,Ash,Ash,false,null,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md,line:3472,Sphere of Ash,Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2,HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A,CONFIRMED_SELECTABLE_TALENT,"[""known-sphere-talent-training"",""level-talent"",""new-sphere-bonus-when-eligible""]",false,false,ELIGIBLE_UNDER_ACCEPTED_GENERAL_TRAINING_ROUTE,SUPPORTED_BY_ACCEPTED_GENERAL_RULE_SUBJECT_TO_CHARACTER_STATE,null,true,,NO_EXPLICIT_PREREQUISITE_PROSE_BEYOND_OWNER_RELATIONSHIP,Smothering Cloud adds damage and Smothered to hostile creatures entering/starting in Ashfall.,,AVAILABLE,MISSING,OWNER_SELECTABLE_WITH_PREREQUISITES,ordinary_or_unspecified,false,[],candidate,"{""accepted_qa2_record_id"":""ASH_TAL_SMOTHERING_CLOUD"",""source_anchor"":""line:3472"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",52796a0060cbfe169f47033c9bf9d9b2b51ac6331aa80e54a9daa045924deb9a
ASH_TAL_SOOT_IN_LUNGS,ASH_TAL_SOOT_IN_LUNGS,ASH_TAL_SOOT_IN_LUNGS,null,Soot in the Lungs,tianxia.sphere.ash,Ash,Ash,false,null,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md,line:3378,Sphere of Ash,Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2,HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A,CONFIRMED_SELECTABLE_TALENT,"[""known-sphere-talent-training"",""level-talent"",""new-sphere-bonus-when-eligible""]",false,false,ELIGIBLE_UNDER_ACCEPTED_GENERAL_TRAINING_ROUTE,SUPPORTED_BY_ACCEPTED_GENERAL_RULE_SUBJECT_TO_CHARACTER_STATE,null,true,,NO_EXPLICIT_PREREQUISITE_PROSE_BEYOND_OWNER_RELATIONSHIP,"Soot in the Lungs adds a field trigger to Ashfall: Smothered on failed CON save, no reactions on success.",,AVAILABLE,MISSING,OWNER_SELECTABLE_WITH_PREREQUISITES,ordinary_or_unspecified,false,[],candidate,"{""accepted_qa2_record_id"":""ASH_TAL_SOOT_IN_LUNGS"",""source_anchor"":""line:3378"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",dde6ab22e2daabd77616a99e9734a2e3c86376dd6a14ec27a36b484028fdfee2
FIRE_TAL_BURNING_WEAPON,FIRE_TAL_BURNING_WEAPON,FIRE_TAL_BURNING_WEAPON,null,Burning Weapon,tianxia.sphere.fire,Fire,Fire,false,null,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md,line:29629,Sphere of Fire,Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2,HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A,CONFIRMED_SELECTABLE_TALENT,"[""known-sphere-talent-training"",""level-talent"",""new-sphere-bonus-when-eligible""]",false,false,ELIGIBLE_UNDER_ACCEPTED_GENERAL_TRAINING_ROUTE,SUPPORTED_BY_ACCEPTED_GENERAL_RULE_SUBJECT_TO_CHARACTER_STATE,null,true,,NO_EXPLICIT_PREREQUISITE_PROSE_BEYOND_OWNER_RELATIONSHIP,Burning Weapon adds once-per-turn Fire damage to a weapon/unarmed/natural hit and applies Burn.,,AVAILABLE,MISSING,OWNER_SELECTABLE_WITH_PREREQUISITES,ordinary_or_unspecified,false,[],candidate,"{""accepted_qa2_record_id"":""FIRE_TAL_BURNING_WEAPON"",""source_anchor"":""line:29629"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",09a6f437dbdb47ac040d82ba5ffb2e69ffaba8e081983c9cf4c42bf48b3baf74
FIRE_TAL_BURN_THROUGH,FIRE_TAL_BURN_THROUGH,FIRE_TAL_BURN_THROUGH,null,Burn Through,tianxia.sphere.fire,Fire,Fire,false,null,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md,line:29917,Sphere of Fire,Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2,HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A,CONFIRMED_SELECTABLE_TALENT,"[""known-sphere-talent-training"",""level-talent"",""new-sphere-bonus-when-eligible""]",false,false,ELIGIBLE_UNDER_ACCEPTED_GENERAL_TRAINING_ROUTE,SUPPORTED_BY_ACCEPTED_GENERAL_RULE_SUBJECT_TO_CHARACTER_STATE,null,true,,NO_EXPLICIT_PREREQUISITE_PROSE_BEYOND_OWNER_RELATIONSHIP,Burn Through damages an object/barrier/structure and may splash adjacent creatures if it destroys the target.,,AVAILABLE,MISSING,OWNER_SELECTABLE_WITH_PREREQUISITES,ordinary_or_unspecified,false,[],candidate,"{""accepted_qa2_record_id"":""FIRE_TAL_BURN_THROUGH"",""source_anchor"":""line:29917"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",b2d295e28819f81acc57c3158d035c6213308a9d3314f2d217d00fa37368045e
FIRE_TAL_CROWN_OF_INFERNO,FIRE_TAL_CROWN_OF_INFERNO,FIRE_TAL_CROWN_OF_INFERNO,null,Crown of the Inferno,tianxia.sphere.fire,Fire,Fire,false,null,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md,line:30137,Sphere of Fire,Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2,HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A,CONFIRMED_SELECTABLE_TALENT,"[""known-sphere-talent-training"",""level-talent"",""new-sphere-bonus-when-eligible""]",false,false,ELIGIBLE_UNDER_ACCEPTED_GENERAL_TRAINING_ROUTE,SUPPORTED_BY_ACCEPTED_GENERAL_RULE_SUBJECT_TO_CHARACTER_STATE,null,true,,NO_EXPLICIT_PREREQUISITE_PROSE_BEYOND_OWNER_RELATIONSHIP,Crown of the Inferno creates an ongoing fire field with start/enter damage and a Burning-target healing lock check.,,AVAILABLE,MISSING,OWNER_SELECTABLE_WITH_PREREQUISITES,ordinary_or_unspecified,false,[],candidate,"{""accepted_qa2_record_id"":""FIRE_TAL_CROWN_OF_INFERNO"",""source_anchor"":""line:30137"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",8cafe9ce38fe180ff35ee68f9c02840eff684454e085ccb6d469f806dbb98c28
