record_id,prerequisite_evaluation_status,typed_constraints,raw_prerequisite_prose,display_only_or_advisory_constraints,invalid_references,unresolved_reason,creator_selectability_can_be_evaluated_safely,source_provenance,record_commitment_sha256
ASH_TAL_ASHEN_BURIAL,NO_EXPLICIT_PREREQUISITE_PROSE_BEYOND_OWNER_RELATIONSHIP,"[{""kind"":""sphere_id"",""source_basis"":""canonical owning Sphere relationship"",""target_id"":""tianxia.sphere.ash""}]",,[],[],,true,"{""accepted_qa2_record_id"":""ASH_TAL_ASHEN_BURIAL"",""source_anchor"":""line:3582"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",ec9bd17deda131a624fd89ee68a6277b25daa44a8bbcb42235e1f4af45397cc7
ASH_TAL_CINDER_BURST,NO_EXPLICIT_PREREQUISITE_PROSE_BEYOND_OWNER_RELATIONSHIP,"[{""kind"":""sphere_id"",""source_basis"":""canonical owning Sphere relationship"",""target_id"":""tianxia.sphere.ash""}]",,[],[],,true,"{""accepted_qa2_record_id"":""ASH_TAL_CINDER_BURST"",""source_anchor"":""line:3326"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",7666dcaf4d4323b00b3f7216592c23adeb21842711bdc7f027c0e165dea1c5c6
ASH_TAL_CREMATION_PRISON,NO_EXPLICIT_PREREQUISITE_PROSE_BEYOND_OWNER_RELATIONSHIP,"[{""kind"":""sphere_id"",""source_basis"":""canonical owning Sphere relationship"",""target_id"":""tianxia.sphere.ash""}]",,[],[],,true,"{""accepted_qa2_record_id"":""ASH_TAL_CREMATION_PRISON"",""source_anchor"":""line:3812"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",b31c1466003416fe52b72b6848325b3e37737ad92d2dfe1ba9ac3a7d127ee1f5
ASH_TAL_DEEP_CINDER_BRAND,NO_EXPLICIT_PREREQUISITE_PROSE_BEYOND_OWNER_RELATIONSHIP,"[{""kind"":""sphere_id"",""source_basis"":""canonical owning Sphere relationship"",""target_id"":""tianxia.sphere.ash""}]",,[],[],,true,"{""accepted_qa2_record_id"":""ASH_TAL_DEEP_CINDER_BRAND"",""source_anchor"":""line:3492"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",ba140d233858c272d4e025d753f4bf5183ce808e8a14f8738cf3640a4ba3cb96
ASH_TAL_RUINOUS_ASH,NO_EXPLICIT_PREREQUISITE_PROSE_BEYOND_OWNER_RELATIONSHIP,"[{""kind"":""sphere_id"",""source_basis"":""canonical owning Sphere relationship"",""target_id"":""tianxia.sphere.ash""}]",,[],[],,true,"{""accepted_qa2_record_id"":""ASH_TAL_RUINOUS_ASH"",""source_anchor"":""line:3550"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",9e8d54217cf2034378e996b5eef460944e7b8e4da497f14b880c3d0f39f426b7
ASH_TAL_SMOTHERING_CLOUD,NO_EXPLICIT_PREREQUISITE_PROSE_BEYOND_OWNER_RELATIONSHIP,"[{""kind"":""sphere_id"",""source_basis"":""canonical owning Sphere relationship"",""target_id"":""tianxia.sphere.ash""}]",,[],[],,true,"{""accepted_qa2_record_id"":""ASH_TAL_SMOTHERING_CLOUD"",""source_anchor"":""line:3472"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",e1229ccbe5acc3fff976d932281f0070d3a2b5fd723492058be4624ebd66402b
ASH_TAL_SOOT_IN_LUNGS,NO_EXPLICIT_PREREQUISITE_PROSE_BEYOND_OWNER_RELATIONSHIP,"[{""kind"":""sphere_id"",""source_basis"":""canonical owning Sphere relationship"",""target_id"":""tianxia.sphere.ash""}]",,[],[],,true,"{""accepted_qa2_record_id"":""ASH_TAL_SOOT_IN_LUNGS"",""source_anchor"":""line:3378"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",2ba465de422c8d982dd07291a852cc64bc1aef1e561471ec2ffaef9de2096a44
FIRE_TAL_BURNING_WEAPON,NO_EXPLICIT_PREREQUISITE_PROSE_BEYOND_OWNER_RELATIONSHIP,"[{""kind"":""sphere_id"",""source_basis"":""canonical owning Sphere relationship"",""target_id"":""tianxia.sphere.fire""}]",,[],[],,true,"{""accepted_qa2_record_id"":""FIRE_TAL_BURNING_WEAPON"",""source_anchor"":""line:29629"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",79bc6c216394572fff44f442b271ce3394bb9221bb20460f030564d1d4a5d557
FIRE_TAL_BURN_THROUGH,NO_EXPLICIT_PREREQUISITE_PROSE_BEYOND_OWNER_RELATIONSHIP,"[{""kind"":""sphere_id"",""source_basis"":""canonical owning Sphere relationship"",""target_id"":""tianxia.sphere.fire""}]",,[],[],,true,"{""accepted_qa2_record_id"":""FIRE_TAL_BURN_THROUGH"",""source_anchor"":""line:29917"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",59ff86a89320fdb5b959759697a79886074dce3408fda0f912b0106aaa019357
FIRE_TAL_CROWN_OF_INFERNO,NO_EXPLICIT_PREREQUISITE_PROSE_BEYOND_OWNER_RELATIONSHIP,"[{""kind"":""sphere_id"",""source_basis"":""canonical owning Sphere relationship"",""target_id"":""tianxia.sphere.fire""}]",,[],[],,true,"{""accepted_qa2_record_id"":""FIRE_TAL_CROWN_OF_INFERNO"",""source_anchor"":""line:30137"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",89818064fe438d3d3198268a1fa9b911356b02d942bfd80cf3bb0844734f82b1
